Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
15,"Signature Scrub Pad - Anti- Bacterial, Regular Premium Pack",Cleaning & Household,20,20,"Utensil Scrub-Pad, Glove",4.3,0,0,Very Good,Low
16,Good Life Popcorn Maize 500 g,Groceries,81,95,Millets And Grains,3.7,14,14.74,Good,Low
17,Essential Wheat Grass Powder - Raw Selection,Gourmet & World Food,261,290,Flours & Pre-Mixes,4,29,10,Very Good,Medium
18,Pro Butter Cookies Gold Collection Line,Gourmet & World Food,600,600,"Luxury Chocolates, Gifts",2.2,0,0,Average,High
19,"Expert Face Wash - Oil Control, Active Edition",Beauty & Hygiene,110,110,Face Care,5,0,0,Excellent,Low
20,Advanced Mold & Mildew Remover with Bleach Model,Cleaning & Household,350,350,Floor & Other Cleaners,3.8,0,0,Good,Medium
21,Good Life Popcorn Jawar 1kg,Groceries,73,80,Millets And Grains,3.8,7,8.75,Good,Low
22,Knorr Sweet Corn Veg Instant Cup-a-Soup 9.5 g,Groceries,10,10,Instant Food Products,3.6,0,0,Good,Low
23,Expert Just Spray - Mosquito Repellent Room Spray Selection,Cleaning & Household,200,200,Mosquito Repellent,4.2,0,0,Very Good,Medium
24,Fusion Dove Plastic Soap Case - Assorted Colour Set,Cleaning & Household,49,59,Soap Cases & Dispensers,4,10,16.95,Very Good,Low
25,New Generation Smooth Skin Oil - For Dry Skin Edition,Beauty & Hygiene,324,360,Aromatherapy,5,36,10,Excellent,Medium
26,Signature Salted Pumpkin Edition,Gourmet & World Food,180,180,Roasted Seeds & Nuts,4.9,0,0,Excellent,Medium
27,Act II Golden Sizzle Instant Popcorn 30g,Groceries,10,10,Instant Food Products,4.3,0,0,Very Good,Low
28,Ultimate Flax Seeds - Roasted Premium Pack,Gourmet & World Food,120,120,Roasted Seeds & Nuts,4.3,0,0,Very Good,Low
29,Artisan Organic Tofu - Soy Paneer Style,Gourmet & World Food,85.14,90,Tofu,3.9,4.86,5.4,Good,Low
30,Signature Ceramic Barrel Brush - Colour May Vary Collection,Beauty & Hygiene,525,700,Tools & Accessories,4.2,175,25,Very Good,High
31,Artisan Instant Noodles - Chicken Satay Flavor Line,Gourmet & World Food,45,50,Imported Noodles,4.1,5,10,Very Good,Low
32,Ultimate Chia Seeds Edition,"Foodgrains, Oil & Masala",120,120,Other Dry Fruits,3.9,0,0,Good,Low
33,New Generation Cleanse Green Tea - Whole Leaf Loose Tea Style,Gourmet & World Food,75,75,Gourmet Tea & Tea Bags,3.9,0,0,Good,Low
34,Max Veggie Cutter Model,"Kitchen, Garden & Pets",195,195,Choppers & Graters,5,0,0,Excellent,Medium
35,Milky Mist Paneer 200g (Pack),Groceries,69,125,Dairy & Bakery,3.6,56,44.8,Good,Low
36,Amul Cheese Cubes 1kg (Carton),Groceries,567,610,Dairy & Bakery,3.8,43,7.05,Good,High
37,Expert Insulated Hot Fresh Casserole For Roti/Chapati - White Selection,"Kitchen, Garden & Pets",659,895,Casserole,3.3,236,26.37,Good,High
38,New Generation Granola - Happy Berries Model,Snacks & Branded Foods,245,265,Granola & Cereal Bars,3.5,20,7.55,Good,Medium
39,Advanced Flaxseed - Pesticide Free Line,"Foodgrains, Oil & Masala",53.9,55,Other Dry Fruits,4,1.1,2,Very Good,Low
40,Ching's Secret Schezwan Chutney 600 g,Groceries,125,180,Pickles & Chutneys,3.6,55,30.56,Good,Low
41,Ultimate Paratha Puff Series,Snacks & Branded Foods,90,110,Frozen Veg Snacks,4.3,20,18.18,Very Good,Low
42,Ultimate Lip Butter - Rose Set,Beauty & Hygiene,169.15,199,Lip Care,1.5,29.85,15,Poor,Medium
43,Ultimate Fruit Power - Masala Sugarcane Series,Beverages,19,20,Juices,2.9,1,5,Average,Low
44,Expert Chocobakes Choc Filled Cookies Style,"Bakery, Cakes & Dairy",102,120,"Bakery Biscuits, Cookies",4.2,18,15,Very Good,Low
45,Pro Amber - Deodorant Body Spray Bundle,Beauty & Hygiene,211.65,249,Men'S Deodorants,3.4,37.35,15,Good,Medium
46,Max Green Tea - Tulsi Loose Leaf Bundle,Beverages,225,225,Green Tea,3.7,0,0,Good,Medium
47,Expert Pet Solitaire Container Set - Silver Premium Pack,"Kitchen, Garden & Pets",499,969,Containers Sets,3.9,470,48.5,Good,Medium
48,Max Dhania - Dal Style,"Foodgrains, Oil & Masala",98,120,Whole Spices,4.1,22,18.33,Very Good,Low
49,Fusion Pudina Chutney Masala Range,"Foodgrains, Oil & Masala",46.75,55,Blended Masalas,3.9,8.25,15,Good,Low
50,Pro Bodylicious Deodorant Spray - Mate (For Men) Bundle,Beauty & Hygiene,136.5,195,Men'S Deodorants,4.1,58.5,30,Very Good,Low
51,"Advanced Sport Deo Spray - Fresh, for Men Edition",Beauty & Hygiene,112.75,205,Men'S Deodorants,3.7,92.25,45,Good,Low
52,Max Choco Deck - Mini Delights Model,Snacks & Branded Foods,160,200,Chocolates,4.4,40,20,Very Good,Medium
53,Essential Eau De Toilette - Homme Green Bundle,Beauty & Hygiene,427.5,450,Eau De Toilette,4.3,22.5,5,Very Good,Medium
54,Advanced Lemon & Tea Tree Oil Soap Model,Beauty & Hygiene,360,360,Bathing Bars & Soaps,4.2,0,0,Very Good,Medium
55,Pro Flavoured Cream Wafer Roll - Strawberry Premium Pack,Gourmet & World Food,275,275,"Cookies, Biscotti, Wafer",4.3,0,0,Very Good,Medium
56,Pro Storage/Lunch Steel Container with PP Lid - Red Set,"Kitchen, Garden & Pets",109,299,Steel Lunch Boxes,2.6,190,63.55,Average,Low
57,Signature Plain Green Olives Premium Pack,Gourmet & World Food,179,179,"Olive, Jalapeno, Gherkin",5,0,0,Excellent,Medium
58,Elite Quinoa - Organic Set,"Foodgrains, Oil & Masala",250,250,"Organic Rice, Other Rice",3.9,0,0,Good,Medium
59,Elite After Shave Splash - Arctic Ice Series,Beauty & Hygiene,459.62,469,Shaving Care,3.9,9.38,2,Good,Medium
60,Pro Colour Catcher Sheets Edition,Cleaning & Household,799,799,Imported Cleaners,4,0,0,Very Good,High
61,Del Monte Ketchup 1kg,Groceries,80,160,Ketchups & Spreads,3.7,80,50,Good,Low
62,Wingreens Farms Premium Vey Mayo 800 g,Groceries,125,250,Ketchups & Spreads,3.9,125,50,Good,Low
63,Expert Sauce - Sweet & Sour Set,Gourmet & World Food,245,245,Thai & Asian Sauces,3.7,0,0,Good,Medium
64,Fusion Super Hot and Sweet Mango Chutney Line,Snacks & Branded Foods,100,125,Chutney Powder,3,25,20,Good,Low
65,Advanced Pani Puri Mix Paste Collection,"Foodgrains, Oil & Masala",48.95,55,Cooking Pastes,4.1,6.05,11,Very Good,Low
66,Pro Peach Syrup Edition,Gourmet & World Food,850,850,Gourmet Juices & Drinks,4.2,0,0,Very Good,High
67,Pro Acne & Oil Control Face Wash Style,Beauty & Hygiene,80,100,Face & Body,4,20,20,Very Good,Low
68,Lotus Spices Green Elaichi 10 g,Groceries,38,40,Masalas & Spices,3.6,2,5,Good,Low
69,Fusion Choco Deck - French Dessert Inspired Layered Bar Series,Snacks & Branded Foods,56,70,Chocolates,4,14,20,Very Good,Low
70,Expert Extra Fine Green Peas Selection,Gourmet & World Food,202.5,225,Beans & Pulses,4.5,22.5,10,Excellent,Medium
71,New Generation Soothing Cucumber Facial Scrub With Apricot Seeds Edition,Beauty & Hygiene,299.4,499,Face Care,3.7,199.6,40,Good,Medium
72,Essential Foochka Premium Pack,Snacks & Branded Foods,60,60,"Papads, Ready To Fry",3.9,0,0,Good,Low
73,Expert Argan-Liquid Gold Hair Spa Model,Beauty & Hygiene,199.5,210,Hair & Scalp Treatment,4.4,10.5,5,Very Good,Medium
74,"Expert Baby Bed Protector - Sublimation Print, Pink Bundle",Baby Care,199,199,Baby Health,3.7,0,0,Good,Medium
75,Essential Corporate Planner Diary With Premium PU Leather Cover With Card Holder Range,Cleaning & Household,399,399,"Notebooks, Files, Folders",3.9,0,0,Good,Medium
76,Kellogg's Chocos Variety Pack 153 g (Pack of 7),Groceries,55,70,Breakfast Cereals,3.7,15,21.43,Good,Low
77,"Artisan Atta Chalan - Stainless Steel, Size- No.8 Selection","Kitchen, Garden & Pets",149,179,Kitchen Tools & Other Accessories,3.5,30,16.76,Good,Low
78,Expert Dog Supplement - Absolute Skin + Coat Tablet Bundle,"Kitchen, Garden & Pets",348.6,498,Pet Meals & Treats,4,149.4,30,Very Good,Medium
79,"Fusion Peanut Butter - Creamy, Super Collection",Gourmet & World Food,209.4,349,"Chocolate, Peanut Spread",4.3,139.6,40,Very Good,Medium
80,Advanced Sugar Free Petit Beurre - The Taste of France Bundle,Snacks & Branded Foods,35,35,"Marie, Health, Digestive",4,0,0,Very Good,Low
81,Artisan Aqua Halo Rejuvenating Conditioner Series,Beauty & Hygiene,168.75,225,Shampoo & Conditioner,1,56.25,25,Poor,Medium
82,Advanced Ayurvedic Anti-Tan Face Pack Style,Beauty & Hygiene,269.4,449,Face Care,3.9,179.6,40,Good,Medium
83,"Kellogg's Fruit, Nut & Seeds Muesli 750 g",Groceries,336,499,Breakfast Cereals,3.7,163,32.67,Good,Medium
84,Mohan Impex Cocoa Powder 500 gm [HoReCa Pack],Groceries,440,649,Baking,3.6,209,32.2,Good,Medium
85,Good Life Chilli Powder 100g,Groceries,25,50,Masalas & Spices,3.6,25,50,Good,Low
86,Pro Dog Supplement - Absolute Calcium Tablet Style,"Kitchen, Garden & Pets",339.15,399,Pet Meals & Treats,3.9,59.85,15,Good,Medium
87,Essential Battery Power Kids Toothbrush - Barbie Model,Beauty & Hygiene,374.25,499,Electric Toothbrush,4,124.75,25,Very Good,Medium
88,Advanced Organic Carom Seeds/Ajwain/Om Kalu Series,"Foodgrains, Oil & Masala",72,72,Whole Spices,3.9,0,0,Good,Low
89,"Pro Padded Harness - 3/4 inch, Grey Colour Line","Kitchen, Garden & Pets",840,840,Pet Collars & Leashes,3.9,0,0,Good,High
90,"Fusion Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour Collection",Beauty & Hygiene,43,43,Toothpaste,4,0,0,Very Good,Low
91,Ultimate Pure & Gentle Face Wash Series,Beauty & Hygiene,120,150,Face Care,4.3,30,20,Very Good,Low
92,Advanced Sesame Seed Oil Collection,Beauty & Hygiene,210,300,Aromatherapy,3.5,90,30,Good,Medium
93,Advanced Til Dil Seeds Selection,Gourmet & World Food,70,70,Roasted Seeds & Nuts,3.6,0,0,Good,Low
94,"Pro Penta Plastic Pet Water Bottle - Green, Wide Mouth Premium Pack","Kitchen, Garden & Pets",75,126,Water & Fridge Bottles,3.9,51,40.48,Good,Low
95,Essential Acne Pimple Kit For Acne & Pimple Removal Collection,Beauty & Hygiene,500,500,Face Care,3,0,0,Good,High
96,"Expert Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch Set","Kitchen, Garden & Pets",135,299,Kitchen Tools & Other Accessories,4.3,164,54.85,Very Good,Low
97,Fusion & Moms Bathing Soap - Jasmine Collection,Beauty & Hygiene,108,120,Bathing Bars & Soaps,4.6,12,10,Excellent,Low
98,Aashirvaad Select Sharbatti Wheat Atta 5 kg,Groceries,299,361,Flours & Pre-Mixes,3.7,62,17.17,Good,Medium
99,Elite Amla Chatpata Dry Fruit Collection,Gourmet & World Food,49,65,Dry Fruits & Berries,3.9,16,24.62,Good,Low
100,"Advanced Toothbrush Superhero Assorted, Batman/Spiderman Collection",Beauty & Hygiene,49,79,Toothbrush,3.9,30,37.97,Good,Low
101,Ultimate Chips - Topica Set,Snacks & Branded Foods,65,65,Chips & Corn Snacks,3.9,0,0,Good,Low
102,Pro Cup a Soup - Croutons Cream of Asparagus Selection,Gourmet & World Food,269.1,299,Imported Soups,3.9,29.9,10,Good,Medium
103,India Gate Regular Choice Basmati Rice 5 kg,Groceries,429,515,Rice,3.6,86,16.7,Good,Medium
104,Britannia Toastea Premium Bake Rusk 182 g,Groceries,30,35,Snacks,3.6,5,14.29,Good,Low
105,Fusion Organic Dal - Masoor Collection,"Foodgrains, Oil & Masala",96,96,Organic Dals & Pulses,3.9,0,0,Good,Low
106,Max Strawberry Ice Cream Line,Gourmet & World Food,225,225,Gourmet Ice Cream,3.9,0,0,Good,Medium
107,Advanced Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml Model,Cleaning & Household,95,114,Dishwash Bars & Powders,3.9,19,16.67,Good,Low
108,Advanced Jupiter Water/Juice Glass Tumbler Premium Pack,"Kitchen, Garden & Pets",479,629,Glassware,3.9,150,23.85,Good,Medium
109,"Ultimate Cheese - Feta Greek, Block Edition",Gourmet & World Food,695.7,773,International Cheese,3.9,77.3,10,Good,High
110,Advanced Avida 3-in-1 Semi Economy Pouch -  FG01248 Edition,Cleaning & Household,31.5,35,"Agarbatti, Incense Sticks",4.6,3.5,10,Excellent,Low
111,Essential Bathing Soap - Sandal & Turmeric Selection,Beauty & Hygiene,254.15,299,Bathing Bars & Soaps,4.2,44.85,15,Very Good,Medium
112,New Generation Sweet Corn Kernels - Chipotle Collection,Fruits & Vegetables,55,55,Cut & Peeled Veggies,3.9,0,0,Good,Low
113,Brooke Bond Taj Mahal Tea 500g,Groceries,394,470,Tea & Coffee,3.7,76,16.17,Good,Medium
114,Tata Gold Tea 250g,Groceries,148,160,Tea & Coffee,3.7,12,7.5,Good,Low
115,Signature Ashwagandha Tablets Set,Beauty & Hygiene,120,120,Ayurveda,3.9,0,0,Good,Low
116,Ultimate Hard Anodised Ezee-Pour Saucepan With Lid - L88 Model,"Kitchen, Garden & Pets",864.5,910,Tawa & Sauce Pan,4.6,45.5,5,Excellent,High
117,Artisan Topp Up Milk - Elaichi Range,"Bakery, Cakes & Dairy",80.01,90,"Flavoured, Soya Milk",5,9.99,11.1,Excellent,Low
118,Pro Namkeen - Madras Mixture Selection,Snacks & Branded Foods,10,10,Namkeen & Savoury Snacks,4.1,0,0,Very Good,Low
119,"Signature Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack Premium Pack","Kitchen, Garden & Pets",129,249,Steel Storage Containers,1.5,120,48.19,Poor,Low
120,Pro Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance Collection,Beauty & Hygiene,179.4,299,Men'S Deodorants,4,119.6,40,Very Good,Medium
121,Ultimate Hair Remover Spray - Foam Lemon Style,Beauty & Hygiene,1200,1200,Hair Removal,3.9,0,0,Good,High
122,Lotte Choco Pie 28 g (12 pcs),Groceries,105,170,Chocolates & Candies,3.7,65,38.24,Good,Low
123,Pro Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill Premium Pack,Beauty & Hygiene,32.55,35,Hand Wash & Sanitizers,4.4,2.45,7,Very Good,Low
124,Max Frankincense Oil Edition,Beauty & Hygiene,258.75,345,Aromatherapy,3.7,86.25,25,Good,Medium
125,"Artisan Wonder Diaper Pants - Xtra Large, 12-17 Kg Bundle",Baby Care,1266.38,1398,Diapers,4,0,0,Very Good,High
126,Essential Samrakshana Vaastu Deepa Thailam Premium Pack,"Foodgrains, Oil & Masala",515,515,Other Edible Oils,3.9,0,0,Good,High
127,Pro Quinoa - Organic Black Collection,Gourmet & World Food,495,495,Quinoa & Grains,3.9,0,0,Good,Medium
128,Cadbury Celebrations 144.1 g,Groceries,108,145,Chocolates & Candies,3.6,37,25.52,Good,Low
129,Artisan Fructis Serum - Long & Strong Collection,Beauty & Hygiene,230,230,Shampoo & Conditioner,4.8,0,0,Excellent,Medium
130,Ultimate Citrus Blast Orange Lemon Soap Free Body Wash Style,Beauty & Hygiene,225,250,Shower Gel & Body Wash,3.7,25,10,Good,Medium
131,Max Veda Marie Light Biscuits Range,Snacks & Branded Foods,30,30,"Marie, Health, Digestive",4.4,0,0,Very Good,Low
132,"Advanced 2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet Collection","Kitchen, Garden & Pets",289,749,Umbrella,3.6,460,61.42,Good,Medium
133,Ultimate Aamras Mango Fruit Juice Model,Beverages,243,360,Juices,3.9,117,32.5,Good,Medium
134,Essential Henna & Ginseng Anti Hair Loss Shampoo Set,Beauty & Hygiene,137.75,145,Shampoo & Conditioner,3.6,7.25,5,Good,Low
135,"Ultimate Sandwich Toaster - Non-Stick, Gas Line","Kitchen, Garden & Pets",249,315,Kadai & Fry Pans,3.3,66,20.95,Good,Medium
136,"Advanced Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours Range",Baby Care,349,349,Baby Food,4,0,0,Very Good,Medium
137,Fusion Incense Sticks - Sandal Bundle,Cleaning & Household,60,60,"Agarbatti, Incense Sticks",4.6,0,0,Excellent,Low
138,Elite SPF 15 Sunscreen Lotion Collection,Beauty & Hygiene,209.3,299,Body Care,5,89.7,30,Excellent,Medium
139,Pro Fenugreek Edition,"Foodgrains, Oil & Masala",28.5,30,Organic Masalas & Spices,4.2,1.5,5,Very Good,Low
140,New Generation Caramel Popcorn - Himalayan Salt Collection,Gourmet & World Food,44.1,49,Gourmet Popcorn,3.9,4.9,10,Good,Low
141,Essential Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control Bundle,Beauty & Hygiene,182.75,215,Aromatherapy,4,32.25,15,Very Good,Medium
142,Advanced Sapota - Organically Grown Set,Fruits & Vegetables,35,43.75,Organic Fruits,3.9,8.75,20,Good,Low
143,Fusion Spiced Tea - Blend Of 7 Refreshing Spices Set,Beverages,150,150,Leaf & Dust Tea,4.3,0,0,Very Good,Medium
144,"Pro Steel Bowl/Vati/Katori - No. 4, Chutney Style","Kitchen, Garden & Pets",69,159,Bowls & Vessels,3.9,90,56.6,Good,Low
145,"Pro Adult Dry Cat Food - +1 Year, Ocean Fish Edition","Kitchen, Garden & Pets",999,999,Pet Meals & Treats,3.9,0,0,Good,High
146,Expert Millet Rusk - Sweet Line,"Bakery, Cakes & Dairy",100,100,Rusks,4.5,0,0,Excellent,Low
147,"New Generation Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm Range","Kitchen, Garden & Pets",1099,1335,Kadai & Fry Pans,3.8,0,0,Good,High
148,"Artisan Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush Line",Cleaning & Household,53.35,55,Air Freshener,4.2,1.65,3,Very Good,Low
149,Ultimate Cabbage - Red Model,Fruits & Vegetables,23,28.75,Cabbage & Cauliflower,3.9,5.75,20,Good,Low
150,Artisan Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box Line,"Kitchen, Garden & Pets",269,299,Lunch Boxes,3,30,10.03,Good,Medium
151,Signature Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E) Premium Pack,"Foodgrains, Oil & Masala",183,185,"Sunflower, Rice Bran Oil",4.1,2,1.08,Very Good,Medium
152,Elite Premium Square Plastic Container - Green Edition,"Kitchen, Garden & Pets",179,280,Containers Sets,3.9,101,36.07,Good,Medium
153,Ultimate Instant Popcorn - Butter Delite Set,Snacks & Branded Foods,29.7,33,Chips & Corn Snacks,4.2,3.3,10,Very Good,Low
154,Pro Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g Collection,Beauty & Hygiene,455,525,Lip Care,3.9,70,13.33,Good,Medium
155,Advanced Nutrition Plus Health Supplement - Joint Support Model,Beauty & Hygiene,1299,1299,Supplements & Proteins,3.9,0,0,Good,High
156,Expert Glass Belleza Bowl - Wine Selection,"Kitchen, Garden & Pets",299,398,Glassware,3.9,99,24.87,Good,Medium
157,Ultimate Dark Fantasy - Choco Fills Biscuits - Cookies Range,Snacks & Branded Foods,23.76,30,Cream Biscuits & Wafers,4.3,6.24,20.8,Very Good,Low
158,Fusion Banana - Red Set,Fruits & Vegetables,39,48.75,"Banana, Sapota & Papaya",3.9,9.75,20,Good,Low
159,"Artisan Chilli - Bajji, Mild Premium Pack",Fruits & Vegetables,14,17.5,"Lemon, Ginger & Garlic",3.9,3.5,20,Good,Low
160,Signature I Love You Fruit N Nut Chocolate Range,Snacks & Branded Foods,90,100,Chocolates,4.2,10,10,Very Good,Low
161,Pro Pitted Green Olives Premium Pack,Gourmet & World Food,230,230,"Olive, Jalapeno, Gherkin",4.4,0,0,Very Good,Medium
162,Artisan Glass Mixing Bowl With Lid - Polo Bundle,"Kitchen, Garden & Pets",159,190,Glassware,3.7,31,16.32,Good,Medium
163,Max Cake Gel Edition,Gourmet & World Food,85.5,90,"Baking, Cake Decorations",3.9,4.5,5,Good,Low
164,Max Toffees - Excellence Assorted Series,Gourmet & World Food,250,250,International Chocolates,3.9,0,0,Good,Medium
165,Pro Organic Idly Podi - Ginger Series,Snacks & Branded Foods,75,75,Breakfast & Snack Mixes,3.9,0,0,Good,Low
166,Artisan Glass Water Bottle - Aquaria Organic Purple Edition,"Kitchen, Garden & Pets",369,425,Water & Fridge Bottles,4.8,56,13.18,Excellent,Medium
167,Expert Stainless Steel Pav Bhaji/Idli Oval Shaped Plate Series,"Kitchen, Garden & Pets",125,125,Plates & Tumblers,3.6,0,0,Good,Low
168,Max Organic Cow Ghee/Tuppa Collection,"Foodgrains, Oil & Masala",280,280,"Organic Edible Oil, Ghee",4.2,0,0,Very Good,Medium
169,Signature Dates/Kharjura - Deseeded Selection,"Foodgrains, Oil & Masala",66,66,Other Dry Fruits,4.1,0,0,Very Good,Low
170,Advanced Chutney - Sweet Mango Sliced (without Garlic) Series,Snacks & Branded Foods,90,90,Lime & Mango Pickle,3.9,0,0,Good,Low
171,Advanced Turmeric Powder/Arisina Pudi Collection,"Foodgrains, Oil & Masala",32,64,Powdered Spices,4.2,32,50,Very Good,Low
172,Pro Bread - Fruit Model,"Bakery, Cakes & Dairy",20,20,"Milk, White & Sandwich",3.9,0,0,Good,Low
173,Ultimate Bombay Street Food Spice Blend Selection,Gourmet & World Food,225,225,"Curry Paste, Coconut Milk",3.9,0,0,Good,Medium
174,Signature Ragi Flakes Premium Pack,Snacks & Branded Foods,225,225,Flakes,4.5,0,0,Excellent,Medium
175,Fusion Mustard Oil - Cold Pressed Style,Gourmet & World Food,250,250,Flavoured & Other Oils,3.7,0,0,Good,Medium
176,Artisan Juice/Water Glass - Long Drink Nord Model,"Kitchen, Garden & Pets",639,975,Glassware,3.3,336,34.46,Good,High
177,New Generation Glass Amaze Air Tight Jar - Pink Model,"Kitchen, Garden & Pets",289,358,Glassware,3.9,69,19.27,Good,Medium
178,"New Generation Finger Brush For Kids - Blue, Ultra Soft Collection",Beauty & Hygiene,120,120,Toothbrush,4.3,0,0,Very Good,Low
179,Elite Water/Juice Glass  - Jupiter Long Glass Series,"Kitchen, Garden & Pets",459,705,Glassware,3.5,246,34.89,Good,Medium
180,Ultimate Energy Bar - Choco Crunch Bundle,Gourmet & World Food,50,50,"Healthy, Baked Snacks",3.9,0,0,Good,Low
181,Pro Breeze - Razor Blades Range,Beauty & Hygiene,350,350,Hair Removal,4.3,0,0,Very Good,Medium
182,"Fusion Confeito Vermicelli Combo, Sprinkles Edition",Gourmet & World Food,247,260,"Baking, Cake Decorations",3.9,13,5,Good,Medium
183,Signature Olive Oil - Classic Selection,Gourmet & World Food,429.03,700,"Pure, Pomace Olive Oil",4.5,270.97,38.71,Excellent,Medium
184,"Fusion Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth Range","Kitchen, Garden & Pets",25,42,Water & Fridge Bottles,3.9,17,40.48,Good,Low
185,New Generation Chia Seeds Style,Gourmet & World Food,185,185,Quinoa & Grains,3.9,0,0,Good,Medium
186,Max Skin Cream Selection,Beauty & Hygiene,112.5,150,Face Care,3.1,37.5,25,Good,Low
187,Artisan One Touch Air Purifier Freshener - Floral Bouquet Refill Collection,Cleaning & Household,77,77,Air Freshener,4.2,0,0,Very Good,Low
188,Pro Water/Juice Glass Collection,"Kitchen, Garden & Pets",189,220,Glassware,3.7,31,14.09,Good,Medium
189,Pro Color Naturals Creme Riche Ultra Hair Color - Raspberry Red Model,Beauty & Hygiene,199,199,Hair Color,4.1,0,0,Very Good,Medium
190,Essential Nomarks - Antimarks Soap For Oily Skin Line,Beauty & Hygiene,40,40,Bathing Bars & Soaps,4.3,0,0,Very Good,Low
191,"Fusion Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds Series",Gourmet & World Food,450,450,Gourmet Tea & Tea Bags,3.9,0,0,Good,Medium
192,Advanced Baby Napkins - Mini Terry Style,Baby Care,179,179,Bibs & Napkins,4.3,0,0,Very Good,Medium
193,"Expert Printed Fabric Pencil Pouch - Purple, BB1263DPPL Style",Cleaning & Household,232,399,Exam Pads & Pencil Box,4,167,41.85,Very Good,Medium
194,Essential Snacks - Roasted Mixture Lime Line,Gourmet & World Food,79,109,"Healthy, Baked Snacks",3.9,30,27.52,Good,Low
195,Essential Organic Dosa Mix - Jowar Model,Snacks & Branded Foods,80,80,Breakfast & Snack Mixes,3.7,0,0,Good,Low
196,Signature Lunch Box/Tiffin Set - Green BB 570 2 Range,"Kitchen, Garden & Pets",509,565,Lunch Boxes,3.6,56,9.91,Good,High
197,Expert BCAA Energy Drink - Berry Flavour Line,Beverages,110,110,Sports & Energy Drinks,4,0,0,Very Good,Low
198,Expert Coffee Energizing Face Scrub Line,Beauty & Hygiene,142.5,190,Face Care,3,47.5,25,Good,Low
199,Max Pain Relief - Oil Bundle,Beauty & Hygiene,90,100,Hair Oil & Serum,4.4,10,10,Very Good,Low
200,Advanced Ultra Soft New Born Diapers - Extra Small Premium Pack,Baby Care,699,999,Diapers,3.9,300,30.03,Good,High
201,Signature Jungle Stimulating Facial Cleanser Style,Beauty & Hygiene,799,799,Face Care,3.9,0,0,Good,High
202,Signature Ylang Ylang Essential Oil Range,Beauty & Hygiene,328,450,Aromatherapy,4.5,122,27.11,Excellent,Medium
